model_name,month_date,target_month,portfolio,portfolio_return_percent,benchmark_return_percent,mean_fund_excess_return_percent,funds,excess_return_percent,excess_difference
RF,2024-01-01,2024-02-01,1,3.488054,1.574078,1.913976,2,1.913976,0.0
RF,2024-01-01,2024-02-01,2,3.532847,1.574078,1.958769,1,1.9587689999999998,-2.220446049250313e-16
RF,2024-01-01,2024-02-01,3,3.4490179999999997,1.574078,1.87494,2,1.8749399999999996,-4.440892098500626e-16
RF,2024-01-01,2024-02-01,4,4.29321,1.574078,2.719132,1,2.719132,0.0
RF,2024-01-01,2024-02-01,5,3.690109,1.574078,2.116031,2,2.116031,0.0
RF,2024-01-01,2024-02-01,6,3.821902,1.574078,2.247824,2,2.247824,0.0
RF,2024-01-01,2024-02-01,7,3.185397,1.574078,1.611319,1,1.611319,0.0
RF,2024-01-01,2024-02-01,8,3.332476,1.574078,1.758398,2,1.7583980000000001,2.220446049250313e-16
RF,2024-01-01,2024-02-01,9,4.294344,1.574078,2.720266,1,2.7202659999999996,-4.440892098500626e-16
RF,2024-01-01,2024-02-01,10,1.0625084999999999,1.574078,-0.5115695,2,-0.5115695000000002,-2.220446049250313e-16
RF,2024-01-01,2024-02-01,11,3.1701395,1.574078,1.5960615,2,1.5960614999999998,-2.220446049250313e-16
RF,2024-01-01,2024-02-01,12,3.849571,1.574078,2.275493,1,2.275493,0.0
RF,2024-01-01,2024-02-01,13,3.19617,1.574078,1.622092,2,1.6220919999999999,-2.220446049250313e-16
RF,2024-01-01,2024-02-01,14,3.724196,1.574078,2.150118,1,2.150118,0.0
RF,2024-01-01,2024-02-01,15,2.084111,1.574078,0.5100330000000001,2,0.510033,-1.1102230246251565e-16
RF,2024-01-01,2024-02-01,16,3.295143,1.574078,1.7210649999999998,2,1.7210649999999998,0.0
RF,2024-01-01,2024-02-01,17,3.105058,1.574078,1.53098,1,1.53098,0.0
RF,2024-01-01,2024-02-01,18,4.0911729999999995,1.574078,2.517095,2,2.5170949999999994,-4.440892098500626e-16
RF,2024-01-01,2024-02-01,19,2.61172,1.574078,1.037642,1,1.037642,0.0
RF,2024-02-01,2024-03-01,0,-0.541112,3.2e-05,-0.5411440000000001,2,-0.5411440000000001,0.0
RF,2024-02-01,2024-03-01,1,-0.217829,3.2e-05,-0.217861,2,-0.217861,0.0
RF,2024-02-01,2024-03-01,2,0.338275,3.2e-05,0.338243,1,0.338243,0.0
RF,2024-02-01,2024-03-01,3,-1.3784645000000002,3.2e-05,-1.3784965,2,-1.3784965000000002,-2.220446049250313e-16
RF,2024-02-01,2024-03-01,4,0.411954,3.2e-05,0.411922,1,0.411922,0.0
RF,2024-02-01,2024-03-01,5,0.5560339999999999,3.2e-05,0.5560019999999999,2,0.5560019999999999,0.0
RF,2024-02-01,2024-03-01,6,0.05503999999999998,3.2e-05,0.055007999999999946,2,0.05500799999999998,3.469446951953614e-17
RF,2024-02-01,2024-03-01,7,0.136222,3.2e-05,0.13619,1,0.13619,0.0
RF,2024-02-01,2024-03-01,8,-0.753347,3.2e-05,-0.753379,2,-0.753379,0.0
RF,2024-02-01,2024-03-01,9,0.275848,3.2e-05,0.275816,1,0.275816,0.0
RF,2024-02-01,2024-03-01,10,-0.8332965,3.2e-05,-0.8333284999999999,2,-0.8333285,-1.1102230246251565e-16
RF,2024-02-01,2024-03-01,11,-0.7932695000000001,3.2e-05,-0.7933015000000001,2,-0.7933015000000001,0.0
RF,2024-02-01,2024-03-01,12,1.280927,3.2e-05,1.280895,1,1.280895,0.0
RF,2024-02-01,2024-03-01,13,-1.241695,3.2e-05,-1.241727,2,-1.241727,0.0
RF,2024-02-01,2024-03-01,14,-2.308027,3.2e-05,-2.308059,1,-2.308059,0.0
RF,2024-02-01,2024-03-01,15,0.633052,3.2e-05,0.6330199999999999,2,0.6330199999999999,0.0
RF,2024-02-01,2024-03-01,16,0.3373715,3.2e-05,0.33733949999999996,2,0.3373395,5.551115123125783e-17
RF,2024-02-01,2024-03-01,17,1.792414,3.2e-05,1.792382,1,1.792382,0.0
RF,2024-02-01,2024-03-01,18,0.4011,3.2e-05,0.401068,2,0.40106800000000004,5.551115123125783e-17
RF,2024-02-01,2024-03-01,19,-0.620759,3.2e-05,-0.620791,1,-0.620791,0.0
RF,2024-03-01,2024-04-01,0,6.448069,4.533622,1.914447,2,1.914447,0.0
RF,2024-03-01,2024-04-01,1,3.7493155,4.533622,-0.7843065,2,-0.7843065000000005,-4.440892098500626e-16
RF,2024-03-01,2024-04-01,2,3.392367,4.533622,-1.141255,1,-1.1412550000000001,-2.220446049250313e-16
RF,2024-03-01,2024-04-01,3,3.6715364999999998,4.533622,-0.8620855000000001,2,-0.8620855000000005,-4.440892098500626e-16
