feature_1,feature_2,correlation,abs_correlation
ir_p6m,const_120,0.5685580242542267,0.5685580242542267
sr_p1y,ir_p3y,0.5663265306122449,0.5663265306122449
ir_p6m,t_const_120,0.5622099419567774,0.5622099419567774
ir_p1y,ir_p3y,0.5565566652192792,0.5565566652192792
const_90,net_flow_percent,0.5453352086263479,0.5453352086263479
t_hml_250,ir_p3y,0.543747286148502,0.543747286148502
t_hml_750,sr_p1y,0.5419018671298307,0.5419018671298307
ir_p6m,net_flow_percent,0.5414711870408073,0.5414711870408073
ir_p1y,const_250,0.539906103286385,0.539906103286385
ir_p1y,t_const_90,0.539423757154801,0.539423757154801
ir_p1y,sr_p3y,0.5260529743812419,0.5260529743812419
ir_p1y,const_90,0.52324908354235,0.52324908354235
ir_p1y,t_const_180,0.5179432760949257,0.5179432760949257
t_hml_180,ir_p3y,0.5144376899696048,0.5144376899696048
t_hml_750,net_flow_percent,0.5115067303517151,0.5115067303517151
t_const_180,sr_p3y,0.5078158923143725,0.5078158923143725
ir_p1y,const_180,0.5013827255772075,0.5013827255772075
ir_p1y,t_const_120,0.5001607820438614,0.5001607820438614
t_const_250,ir_p3y,0.4862136343899262,0.4862136343899262
sr_p3y,t_smb_250,-0.4859965262700825,0.4859965262700825
ir_p3y,t_hml_120,0.47904906643508466,0.47904906643508466
ir_p3y,t_hml_90,0.47351280937907075,0.47351280937907075
ir_p1y,const_120,0.47347096276287864,0.47347096276287864
monthly_return_percent,sr_p6m,0.4729068399954476,0.4729068399954476
t_hml_750,ir_p6m,0.47188449848024316,0.47188449848024316
ir_p6m,t_const_180,0.46400546821599453,0.46400546821599453
const_180,sr_p3y,0.46016066000868433,0.46016066000868433
ir_p6m,ir_p3y,0.4561441597915762,0.4561441597915762
ir_p6m,const_180,0.45446343130553657,0.45446343130553657
t_hml_750,t_umd_750,-0.4537559704732957,0.4537559704732957
const_250,t_umd_750,-0.4463742943986105,0.4463742943986105
t_hml_750,sr_p3y,0.4452887537993921,0.4452887537993921
ir_p3y,const_250,0.44311767260095525,0.44311767260095525
t_const_250,t_umd_750,-0.43986105080330007,0.43986105080330007
sr_p1y,t_umd_750,-0.43530178028658273,0.43530178028658273
ir_p6m,t_const_250,0.41690783973245865,0.41690783973245865
t_const_120,sr_p3y,0.411202778983934,0.411202778983934
t_const_180,ir_p3y,0.41109422492401215,0.41109422492401215
t_hml_250,sr_p3y,0.39307425097698656,0.39307425097698656
t_hml_250,ir_p1y,0.38996076918129785,0.38996076918129785
ir_p6m,sr_p3y,0.38699522362136346,0.38699522362136346
t_hml_180,ir_p1y,0.38690591034793237,0.38690591034793237
t_const_180,t_umd_750,-0.3858011289622232,0.3858011289622232
sr_p6m,sr_p3y,0.38178462874511504,0.38178462874511504
sr_p6m,ir_p3y,0.380481980026053,0.380481980026053
t_umd_750,t_smb_250,0.3760312635692575,0.3760312635692575
t_hml_180,sr_p3y,0.3739687364307425,0.3739687364307425
const_180,t_umd_750,-0.3728831958315241,0.3728831958315241
ir_p6m,const_250,0.3698630136986301,0.3698630136986301
ir_p1y,t_hml_120,0.3677085343108882,0.3677085343108882
t_hml_750,sr_p6m,0.3675640468953539,0.3675640468953539
ir_p3y,const_180,0.3675640468953539,0.3675640468953539
ir_p1y,t_hml_90,0.365168178017879,0.365168178017879
ir_p1y,monthly_return_percent,0.3607627500160782,0.3607627500160782
const_120,sr_p3y,0.3603994789405124,0.3603994789405124
ir_p3y,t_const_120,0.3601823708206687,0.3601823708206687
t_hml_750,t_const_120,0.35877116804168474,0.35877116804168474
ir_p3y,t_smb_250,-0.3555145462440295,0.3555145462440295
t_hml_250,t_umd_750,-0.35236647850629615,0.35236647850629615
t_hml_90,sr_p3y,0.3416196265740339,0.3416196265740339
t_hml_120,sr_p3y,0.3414025184541902,0.3414025184541902
t_umd_750,t_hml_90,-0.33836300477637865,0.33836300477637865
t_hml_250,r2_750,0.3355405992184108,0.3355405992184108
t_hml_750,t_const_180,0.3354320451584889,0.3354320451584889
t_const_120,t_umd_750,-0.3338037342596613,0.3338037342596613
t_hml_750,t_const_90,0.3321754233608337,0.3321754233608337
t_const_90,sr_p3y,0.331306990881459,0.331306990881459
monthly_return_percent,const_90,0.326347866854196,0.326347866854196
t_hml_120,t_umd_750,-0.32142857142857145,0.32142857142857145
monthly_return_percent,t_smb_250,-0.31931313910862436,0.31931313910862436
