feature_1,feature_2,spearman_rho,abs_rho
t_const_750,sr_p3y,0.8527984066075469,0.8527984066075469
const_120,t_const_90,0.8494315477070336,0.8494315477070336
t_hml_90,t_hml_180,0.8485491397348732,0.8485491397348732
const_90,t_const_120,0.8475735042761036,0.8475735042761036
const_120,ir_p6m,0.8464399192711265,0.8464399192711265
tna,vol_flows,0.8458488721776091,0.8458488721776091
t_smb_90,t_smb_180,0.8339371658635444,0.8339371658635444
t_const_750,ir_p3y,0.820638776889411,0.820638776889411
r2_180,t_mkt_250,0.8129765796765238,0.8129765796765238
r2_180,t_mkt_90,0.8114400335478812,0.8114400335478812
t_umd_90,t_umd_180,0.8083246423234239,0.8083246423234239
r2_120,t_mkt_180,0.8068807351297337,0.8068807351297337
const_750,ir_p3y,0.8065371110650137,0.8065371110650137
t_hml_120,t_hml_250,0.7995192149410297,0.7995192149410297
t_const_180,t_const_250,0.7967673624607396,0.7967673624607396
const_180,const_250,0.7960196385592281,0.7960196385592281
r2_90,r2_180,0.7927248402376244,0.7927248402376244
ir_p3y,sr_p3y,0.792431588897303,0.792431588897303
t_mkt_90,t_mkt_180,0.7906373608210452,0.7906373608210452
const_180,t_const_250,0.7906065169256326,0.7906065169256326
const_250,t_const_180,0.7890347452989989,0.7890347452989989
r2_250,t_mkt_750,0.7826606221949329,0.7826606221949329
t_hml_250,t_hml_750,0.7808150133776501,0.7808150133776501
t_smb_120,t_smb_250,0.7796992808725405,0.7796992808725405
r2_250,t_mkt_120,0.7730142326105067,0.7730142326105067
t_mkt_250,t_mkt_750,0.772432279106013,0.772432279106013
r2_250,r2_750,0.7667109205511178,0.7667109205511178
const_120,const_180,0.7657425904593104,0.7657425904593104
t_mkt_180,t_mkt_750,0.7642122435111008,0.7642122435111008
t_const_120,t_const_180,0.762238259561821,0.762238259561821
const_180,t_const_120,0.7579956409707743,0.7579956409707743
const_120,t_const_180,0.7559848675298472,0.7559848675298472
t_const_90,ir_p6m,0.7525948923517466,0.7525948923517466
t_hml_180,t_hml_750,0.7499108632303797,0.7499108632303797
t_const_180,ir_p1y,0.7464083985364771,0.7464083985364771
const_90,ir_p6m,0.7426332919112784,0.7426332919112784
const_180,ir_p1y,0.7347141116509974,0.7347141116509974
r2_120,r2_250,0.7346575630026351,0.7346575630026351
r2_180,t_mkt_750,0.7332735749342545,0.7332735749342545
r2_750,t_mkt_180,0.7329423387061027,0.7329423387061027
t_hml_90,t_hml_250,0.7313510529084383,0.7313510529084383
t_mkt_120,t_mkt_250,0.7300645037197431,0.7300645037197431
t_smb_90,t_smb_250,0.7296155419929268,0.7296155419929268
r2_750,t_mkt_250,0.7290404771115272,0.7290404771115272
r2_180,r2_750,0.7272730727622515,0.7272730727622515
