,tna,vol_flows,const_90,const_120,const_180,const_250,const_750,t_const_90,t_const_120,t_const_180,t_const_250,t_const_750,r2_90,r2_120,r2_180,r2_250,r2_750,t_mkt_90,t_mkt_120,t_mkt_180,t_mkt_250,t_mkt_750,t_smb_90,t_smb_120,t_smb_180,t_smb_250,t_smb_750,t_hml_90,t_hml_120,t_hml_180,t_hml_250,t_hml_750,t_umd_90,t_umd_120,t_umd_180,t_umd_250,t_umd_750,ir_p6m,ir_p1y,ir_p3y,sr_p6m,sr_p1y,sr_p3y
t_const_250,0.03908312835967641,0.017029554398102685,0.4708906240426715,0.5401785436314621,0.7906065169256326,0.9882121809024349,0.5376532473780203,0.47173427557003755,0.540269380209664,0.7967673624607396,1.0,0.5389306275254642,-0.36768216469543596,-0.3575838206467517,-0.3235241348949527,-0.2639315490775883,-0.15200486564364796,-0.3102901745465148,-0.27180795326752116,-0.2196842580611116,-0.15404837462575388,-0.19516762450778763,-0.04703534255295976,-0.04325863190430019,-0.12428253850819634,-0.15432358761082096,-0.34070475809211953,0.170593443577333,0.14777223695003935,0.11924544098142552,0.01778968570502051,0.2240083272074046,0.3891299944146999,0.3118370843932516,0.12489901226884091,-0.07005629139844173,-0.3828812587526662,0.4598158689738881,0.8779309507573065,0.5161571423766987,0.18245202004944822,0.22968887186668344,0.5992809934228163
t_const_750,0.04019983212915469,0.08080292330650644,0.024135943072634426,0.07372343065193539,0.2873257463828975,0.5174926042985581,0.9915787950265355,0.015380205113177082,0.06438151252068099,0.29660986732891953,0.5389306275254642,1.0,-0.488707431663602,-0.5364122179028707,-0.5643041993923908,-0.5048804207014744,-0.403054522882757,-0.5171974373511488,-0.5573517496003381,-0.5547650513643105,-0.45152492117499166,-0.4426877139659991,-0.11140555823619203,-0.09030937138510282,-0.1258619820643743,-0.11120048454985709,-0.253336786988282,0.22200402954301124,0.2780522831419033,0.3606954502671329,0.36370275213008807,0.1665193584557206,0.5873613592017759,0.5738635724382635,0.4683998286485331,0.32039927830421494,0.0006157055001424265,0.0069111539829970915,0.5074712087078982,0.820638776889411,0.4399236143446602,0.46652349698999374,0.8527984066075469
r2_90,-0.08268499429512359,-0.04511506432825008,-0.2242930094731662,-0.21692043260939659,-0.3156094121694373,-0.35726852542016074,-0.48299839997725846,-0.19196627434667993,-0.19098327827511768,-0.31619014192294115,-0.36768216469543596,-0.488707431663602,1.0,0.9326530835262513,0.7927248402376244,0.6374618169045873,0.585414046524272,0.9418126478898512,0.8665680205242405,0.7037459069263238,0.5269226665799392,0.5606408235333062,0.07788725343485557,0.055305559177299214,0.03593378498804111,-0.0007664479890009505,0.3123633815037032,0.05624625126091801,0.041382791973528475,0.00038765539107062856,0.042558270423414264,0.13229226506505418,-0.2149543532481316,-0.16828045448060036,-0.03104595506227436,0.09380724671566652,0.23812001121057547,-0.1726488846380126,-0.3774084674728548,-0.26019170902655414,-0.4875233018011253,-0.294477270097101,-0.46347240036914417
r2_120,-0.08737180288579235,-0.046511462283839566,-0.1923071411515421,-0.2163427166856244,-0.3031343398911565,-0.3460460150860671,-0.5297226038084412,-0.15630285538573307,-0.18472834487249082,-0.2991094411759368,-0.3575838206467517,-0.5364122179028707,0.9326530835262513,1.0,0.8868721041328991,0.7346575630026351,0.648440474858796,0.8951516760523388,0.9477430440502395,0.8068807351297337,0.6318434830803973,0.6342988162600861,0.12288593491015043,0.10670342611886195,0.09064551011494835,0.05313101112630343,0.3299683433704714,0.07908761443828435,0.06928358087386224,0.004874296885594861,0.027065987092731184,0.12649859207895411,-0.2933836574581495,-0.21574246432874927,-0.08822119788244324,0.04455803914602446,0.20370209597615116,-0.15144212185330821,-0.36025980820225345,-0.2898602560789429,-0.5521166253973601,-0.37079005982498286,-0.528243031040438
r2_180,-0.09996402731408441,-0.0594916579517157,-0.09395337205043863,-0.12907759623187268,-0.2920571526726339,-0.3161775493887636,-0.5524134397817323,-0.05293923018156436,-0.09459045469678858,-0.2717760674134246,-0.3235241348949527,-0.5643041993923908,0.7927248402376244,0.8868721041328991,1.0,0.8854336132749439,0.7272730727622515,0.8114400335478812,0.8840322138090234,0.9569934332045502,0.8129765796765238,0.7332735749342545,0.12756753309541805,0.10918568961804022,0.1811658513366132,0.15054134542241665,0.30769760260073586,0.10351635895618616,0.08135060456277389,0.03537273390732011,0.0037848280166223438,0.10841634537333972,-0.4027866572901556,-0.3441804641391121,-0.16547777100048694,-0.019261098761570446,0.09147727103307321,-0.04483497556731325,-0.30687004986300664,-0.29602267031037816,-0.4986254607499231,-0.5256413455373,-0.5262397598156828
r2_250,-0.10987333801105786,-0.07684570148199985,0.07012987706227496,0.04745160758001585,-0.15715176645358084,-0.2700079477086887,-0.48178450240344756,0.10385855458714786,0.07985114210808687,-0.130220051379023,-0.2639315490775883,-0.5048804207014744,0.6374618169045873,0.7346575630026351,0.8854336132749439,1.0,0.7667109205511178,0.6838940254984878,0.7730142326105067,0.8862223879928102,0.9650542282261506,0.7826606221949329,0.09644353095439803,0.08742930395477037,0.17104702666282764,0.23620837571086237,0.2395621333211269,0.10082957609129266,0.08924041575370079,0.029252463529777763,-0.008511929550919136,0.10549622372937065,-0.4283057857258969,-0.4040298926819722,-0.27511685242833867,-0.0669895511784817,-0.022179552319950637,0.14638969666400678,-0.2196875617518025,-0.2414639788795815,-0.4253057825967528,-0.595045551230122,-0.42341278916769154
r2_750,-0.08259145343349135,-0.1286392246219056,0.12844955645137018,0.11470375181354657,-0.018188796576027597,-0.16361888305828362,-0.3661796181272022,0.13725542687390205,0.12384683483707673,-0.0030564382638886296,-0.15200486564364796,-0.403054522882757,0.585414046524272,0.648440474858796,0.7272730727622515,0.7667109205511178,1.0,0.606749131605286,0.6751647613487471,0.7329423387061027,0.7290404771115272,0.9726738073876586,-0.1188786527471326,-0.16133787517417997,-0.1400161913658248,-0.13028173521731265,0.04743596937235223,0.0630641587847121,0.02345626416245879,-0.056711715722074264,-0.07949761727306692,0.10476325949168679,-0.4517534558819656,-0.447582635125882,-0.3998938306477081,-0.2951179804828898,0.0014858960838425954,0.1507431986562722,-0.14817968964222558,-0.20532729846515219,-0.23229714065333537,-0.2189370215089547,-0.3396910002595917
t_mkt_90,-0.08427232795108895,-0.06820891518918468,-0.18683544374689656,-0.17089346463134597,-0.25080431630967914,-0.3016145399813187,-0.5135755219791304,-0.1546685082220175,-0.14267823331186447,-0.24442521030975684,-0.3102901745465148,-0.5171974373511488,0.9418126478898512,0.8951516760523388,0.8114400335478812,0.6838940254984878,0.606749131605286,1.0,0.9242938321358203,0.7906373608210452,0.6284639699905813,0.6075378593347135,0.07218070833981433,0.04908072086190832,0.048876168464124674,0.012639096723615375,0.2619736849815341,-0.06703171863705877,-0.08753681809239097,-0.11392312403518075,-0.06995477701265232,0.06522483660643803,-0.2780283662603741,-0.24331176015164718,-0.10397778293290487,0.023701961679485652,0.14353105963576726,-0.13667104263515936,-0.35494637868817,-0.30778198489235936,-0.5143554359361243,-0.3928167120211669,-0.47601807003814944
t_mkt_120,-0.09044665901947829,-0.07614464457582841,-0.15077458342438735,-0.16698999037068654,-0.2186930746313419,-0.2638098748793637,-0.5517605762073994,-0.11621789270751508,-0.13470204467006072,-0.20844006104136437,-0.27180795326752116,-0.5573517496003381,0.8665680205242405,0.9477430440502395,0.8840322138090234,0.7730142326105067,0.6751647613487471,0.9242938321358203,1.0,0.8795830474288633,0.7300645037197431,0.6862854066416096,0.10849518109810018,0.09128420409461353,0.09253535940238666,0.06721546141968736,0.27027192184682197,-0.025378226275397597,-0.05097978323119071,-0.10794216825193953,-0.08997693376488611,0.059695569354915545,-0.335694418659386,-0.2650937244716275,-0.1530393299168798,-0.017396022873066002,0.10507981219703992,-0.10590212284308867,-0.3118985209805209,-0.3319408853587075,-0.5666760420573954,-0.47606846640945355,-0.5394451263970481
t_mkt_180,-0.09826694213907383,-0.09475605802602916,-0.03909622629037793,-0.0674364677798376,-0.21103282441317112,-0.21754224085905757,-0.5433147174968316,0.0019077496638463243,-0.03194705290368862,-0.18581620236515103,-0.2196842580611116,-0.5547650513643105,0.7037459069263238,0.8068807351297337,0.9569934332045502,0.8862223879928102,0.7329423387061027,0.7906373608210452,0.8795830474288633,1.0,0.8790037476673674,0.7642122435111008,0.12253545355282511,0.10314229207175357,0.1616386683587481,0.1566581741187678,0.21668543183254882,0.020356568639904128,-0.01171199651732798,-0.06906390106892239,-0.11018803115832873,0.03326896634818446,-0.40306244692738813,-0.3598294048485117,-0.2112971143486752,-0.07947014056756416,-0.018076364662890483,-0.0019781900023366546,-0.24092689336179623,-0.32072137570219283,-0.49548260014689155,-0.6030925807301251,-0.510345923987812
