feature,mean_ic,median_ic,std_ic,min_ic,max_ic,months_available,positive_ic_pct,abs_mean_ic,selected_ic
t_umd_750,-0.05413537503236272,-0.04412624196376389,0.21385289291916823,-0.4665477252453167,0.3260411230560485,23,15.254237288135593,0.05413537503236272,True
const_120,0.051847390197492745,0.11107800979923743,0.3044272456201743,-0.5076923076923077,0.7195747800586509,54,55.932203389830505,0.051847390197492745,True
t_const_120,0.051283209366292756,0.07876019973206674,0.28423246033787397,-0.4981196581196581,0.6836510263929618,54,52.54237288135594,0.051283209366292756,True
t_smb_750,0.041764322848102886,0.08523876779783944,0.2124727052355666,-0.44926020486634477,0.33384824131092794,23,25.423728813559322,0.041764322848102886,True
r2_750,0.03625213255948105,0.07391304347826087,0.1884956176596545,-0.31952074810052605,0.33717948717948715,23,22.033898305084744,0.03625213255948105,True
t_umd_180,-0.02628569890760086,-0.045227889073571864,0.31907859365528124,-0.7533422459893049,0.707553475935829,51,42.3728813559322,0.02628569890760086,False
r2_120,0.023664591954632577,0.05135351748354845,0.2504054285860875,-0.47701612903225804,0.5952380952380952,54,50.847457627118644,0.023664591954632577,False
vol_flows,0.02248384288924473,0.008219024088346502,0.15794945434933752,-0.32419786096256686,0.38402406417112306,46,42.3728813559322,0.02248384288924473,False
t_umd_250,-0.020075787210030584,0.056085043988269793,0.3167417713136001,-0.7192082111436949,0.5267379679144385,47,44.06779661016949,0.020075787210030584,False
t_mkt_120,0.015859152006180804,-0.007505311562082704,0.218870504086111,-0.545982905982906,0.5280830280830281,54,42.3728813559322,0.015859152006180804,False
r2_180,0.015701268541426373,0.024622730917839175,0.24662467115966433,-0.482620320855615,0.5179487179487179,51,49.152542372881356,0.015701268541426373,False
t_mkt_750,-0.012896467310087058,0.0006489292667099286,0.15915794819584286,-0.3265341905318528,0.2609432234432234,23,20.33898305084746,0.012896467310087058,False
r2_250,0.012657173687042868,-0.0024923542408114845,0.20701849904104502,-0.40762463343108496,0.5055123102391604,47,38.983050847457626,0.012657173687042868,False
t_smb_90,-0.012515740407866212,-0.0601528905876732,0.2572324398965983,-0.619145299145299,0.5850267379679144,55,44.06779661016949,0.012515740407866212,False
t_mkt_250,-0.01057962414778377,0.0038316114265481353,0.20157356476140859,-0.5458211143695014,0.4397696453101336,47,42.3728813559322,0.01057962414778377,False
t_mkt_90,0.00912862710275451,-0.014859053989488773,0.23241906346883925,-0.5555555555555555,0.503052503052503,55,42.3728813559322,0.00912862710275451,False
t_umd_120,0.006229043066516017,0.029706083390293916,0.32445292080791455,-0.8000000000000002,0.7405653170359052,54,47.45762711864407,0.006229043066516017,False
t_umd_90,0.0052770247279018585,0.01680672268907563,0.33037993262346355,-0.7439775910364146,0.7469824293353705,55,47.45762711864407,0.0052770247279018585,False
r2_90,0.004449584772168575,0.011594202898550723,0.25966831666270207,-0.5528205128205128,0.6105006105006106,55,49.152542372881356,0.004449584772168575,False
const_750,-0.004330826663480904,-0.00021596939405158584,0.20825172939677303,-0.3146699656796233,0.3972654211460182,23,18.64406779661017,0.004330826663480904,False
t_smb_120,0.0035134000966302887,-0.0031151644054869857,0.2593386403563544,-0.5467787114845939,0.6381970970206264,54,44.06779661016949,0.0035134000966302887,False
t_mkt_180,0.002727967847638748,0.0007302762458764574,0.22177362026178768,-0.5127005347593584,0.45939004815409307,51,44.06779661016949,0.002727967847638748,False
t_const_750,-0.002677680694390918,-0.020424534123164265,0.19818140063359624,-0.3158671881235534,0.39964513098841464,23,18.64406779661017,0.002677680694390918,False
t_smb_180,0.002120906814823855,-0.0035786997812314266,0.2510134366503272,-0.4319327731092438,0.6106283422459893,51,42.3728813559322,0.002120906814823855,False
tna,0.0007203802623600311,-0.02201421661353982,0.176773545191352,-0.3568041725936462,0.4520188204398731,58,44.06779661016949,0.0007203802623600311,False
t_smb_250,-0.0006262455281118343,-0.029604452115106906,0.2523632948879291,-0.4455213903743316,0.6302521008403361,47,37.28813559322034,0.0006262455281118343,False
