,t_hml_250,t_hml_750,t_hml_180,sr_p1y,ir_p1y,ir_p6m,monthly_return_percent,t_const_180,sr_p6m,t_const_250,ir_p3y,const_90,const_180,t_const_90,t_const_120,const_250,t_hml_120,const_120,t_mkt_750,t_umd_750,t_hml_90,sr_p3y,r2_750,net_flow_percent,t_smb_250
ir_p3y,0.543747286148502,0.6105080330004342,0.5144376899696048,0.5663265306122449,0.5565566652192792,0.4561441597915762,0.27203647416413373,0.41109422492401215,0.380481980026053,0.4862136343899262,1.0,0.2603126356925749,0.3675640468953539,0.31089882761615284,0.3601823708206687,0.44311767260095525,0.47904906643508466,0.314915327833261,0.0022796352583586625,-0.04211897524967434,0.47351280937907075,0.9287885366912723,0.1838905775075988,0.6098567086409031,-0.3555145462440295
const_90,-0.12325551482410445,0.29928354320451583,-0.19420369104579632,0.6460544086436427,0.52324908354235,0.6507543089821571,0.326347866854196,0.7044702665755297,0.7870231034787997,0.6009711235449225,0.2603126356925749,1.0,0.7314285714285714,0.9725035161744022,0.869255111976631,0.6271142838767766,-0.1579844206426485,0.8884615384615384,-0.1477420755536257,-0.22112462006079028,-0.15630567276136897,0.2689969604863222,-0.060790273556231005,0.5453352086263479,-0.16496237700173644
const_180,-0.24123737860955688,0.29504993486756403,-0.25137388926862614,0.7736831950607757,0.5013827255772075,0.45446343130553657,0.20710868079289133,0.9722761449077238,0.6488038277511962,0.8755546980513216,0.3675640468953539,0.7314285714285714,1.0,0.7275734791524265,0.829336978810663,0.9163290243745579,-0.2684073820915926,0.8445933014354067,-0.19246634824142422,-0.3728831958315241,-0.2721257689678742,0.46016066000868433,-0.10138949196699956,0.5940943267259057,-0.04453662614959161
t_const_90,-0.08942697279567818,0.3321754233608337,-0.17894736842105263,0.6691427101421313,0.539423757154801,0.63838692952617,0.2981715893108298,0.7226794258373206,0.7702550613943019,0.6322914656891119,0.31089882761615284,0.9725035161744022,0.7275734791524265,1.0,0.8917478091528724,0.6461508778699595,-0.1296981499513145,0.866796494644596,-0.11018237082066869,-0.27029960920538426,-0.1270042194092827,0.331306990881459,-0.024858879722101608,0.5830285982184716,-0.223872917872532
t_const_120,-0.14010547302077303,0.35877116804168474,-0.23297334244702667,0.7302720432182134,0.5001607820438614,0.5622099419567774,0.24028724440116844,0.8303212576896788,0.7539169691068425,0.7564473599588398,0.3601823708206687,0.869255111976631,0.829336978810663,0.8917478091528724,1.0,0.7889896456363753,-0.17986854917234665,0.9655550146056475,-0.13808076422058185,-0.3338037342596613,-0.19094449853943524,0.411202778983934,-0.05579678679982631,0.6310370009737098,-0.1732265740562094
const_250,-0.16406199755611292,0.30199739470256187,-0.17544536626149593,0.827416554119236,0.539906103286385,0.3698630136986301,0.08871953180268828,0.9244324393851695,0.5937680879799344,0.9750144703839475,0.44311767260095525,0.6271142838767766,0.9163290243745579,0.6461508778699595,0.7889896456363753,1.0,-0.1879542092739083,0.7662550646343816,-0.21895353886235344,-0.4463742943986105,-0.17634574570711942,0.5768562744246635,-0.11940946591402518,0.5831564730850859,-0.135185542478616
t_hml_120,0.9744356550260467,0.8054711246200608,0.9812713602187286,0.06196539970416104,0.3677085343108882,0.10385816714930639,-0.03631937682570594,-0.2780587833219412,-0.13076796621100417,-0.1465367547752267,0.47904906643508466,-0.1579844206426485,-0.2684073820915926,-0.1296981499513145,-0.17986854917234665,-0.1879542092739083,1.0,-0.17607108081791625,-0.03300043421623969,-0.32142857142857145,0.9882911392405064,0.3414025184541902,0.27225358228397745,0.07799415774099318,-0.22654189980063028
const_120,-0.15206765708405684,0.30677377333912287,-0.22015037593984962,0.6963470319634704,0.47347096276287864,0.5685580242542267,0.25143622200584226,0.8124948735475052,0.7736187862770141,0.7164769438549102,0.314915327833261,0.8884615384615384,0.8445933014354067,0.866796494644596,0.9655550146056475,0.7662550646343816,-0.17607108081791625,1.0,-0.19431176726009552,-0.25705601389491967,-0.188047711781889,0.3603994789405124,-0.11007381676074685,0.6007789678675755,-0.11222586661521641
t_mkt_750,0.03701693443334781,-0.06133304385584021,-0.004342162396873643,-0.2002822405557968,-0.1274424663482414,-0.18345636126791143,-0.18530178028658273,-0.11322188449848024,-0.29515848892748586,-0.13851498046026922,0.0022796352583586625,-0.1477420755536257,-0.19246634824142422,-0.11018237082066869,-0.13808076422058185,-0.21895353886235344,-0.03300043421623969,-0.19431176726009552,1.0,0.14426834563612678,-0.03213200173686496,-0.013569257490230134,0.9158706035605731,-0.00021710811984368216,-0.2188449848024316
t_umd_750,-0.35236647850629615,-0.4537559704732957,-0.3144811115935736,-0.43530178028658273,-0.2748588797221016,-0.1450282240555797,0.02518454190186713,-0.3858011289622232,-0.1945288753799392,-0.43986105080330007,-0.04211897524967434,-0.22112462006079028,-0.3728831958315241,-0.27029960920538426,-0.3338037342596613,-0.4463742943986105,-0.32142857142857145,-0.25705601389491967,0.14426834563612678,1.0,-0.33836300477637865,-0.09368215371254884,0.03951367781155015,-0.12016934433347808,0.3760312635692575
t_hml_90,0.9695478808926619,0.8161094224924013,0.9740533151059467,0.05489098977426201,0.365168178017879,0.0732052757369213,-0.05705578996718237,-0.28010936431989064,-0.1600045524096157,-0.1355714193838832,0.47351280937907075,-0.15630567276136897,-0.2721257689678742,-0.1270042194092827,-0.19094449853943524,-0.17634574570711942,0.9882911392405064,-0.188047711781889,-0.03213200173686496,-0.33836300477637865,1.0,0.3416196265740339,0.2740990013026487,0.03429442100328176,-0.21580165927069264
