"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2020","16,255.62","14,543.26","16,277.69","14,543.26","","11.94%"
"01-10-2020","14,521.56","14,321.32","14,816.06","14,321.32","","2.70%"
"01-09-2020","14,139.78","14,285.55","14,578.07","13,538.89","","-0.28%"
"01-08-2020","14,179.34","13,499.05","14,586.35","13,499.05","","3.84%"
"01-07-2020","13,654.79","12,904.08","13,812.20","12,904.08","","6.82%"
"01-06-2020","12,783.45","12,092.03","13,002.86","12,092.03","","8.39%"
"01-05-2020","11,793.53","11,445.71","11,793.53","10,916.21","","-2.31%"
"01-04-2020","12,072.43","10,186.74","12,072.43","10,000.86","","18.74%"
"01-03-2020","10,167.46","13,790.70","14,014.65","9,400.96","","-26.72%"
"01-02-2020","13,875.34","3,581.29","15,070.16","3,581.29","","-6.28%"
"01-01-2020","14,804.57","14,843.29","15,188.79","14,631.41","","-0.10%"
"01-12-2019","14,819.29","14,706.31","14,897.54","14,402.73","","0.61%"
"01-11-2019","14,729.77","14,560.64","14,814.01","14,457.92","","1.31%"
"01-10-2019","14,539.09","13,840.55","14,539.09","13,547.24","","3.87%"
"01-09-2019","13,997.16","13,186.84","14,215.41","13,136.23","","4.07%"
"01-08-2019","13,449.30","13,362.08","15,290.85","13,061.91","","-0.54%"
"01-07-2019","13,522.10","14,481.11","14,579.18","13,459.90","","-6.09%"
"01-06-2019","14,398.80","14,766.71","14,766.71","14,192.79","","-1.32%"
"01-05-2019","14,591.01","14,326.52","14,606.29","13,619.29","","1.56%"
"01-04-2019","14,366.33","14,421.49","14,540.12","14,251.64","","0.01%"
"01-03-2019","14,364.59","13,424.34","14,364.59","13,424.34","","7.98%"
"01-02-2019","13,303.20","13,435.65","13,571.96","12,980.10","","-0.41%"
"01-01-2019","13,357.80","13,640.46","13,640.46","13,167.46","","-1.77%"
"01-12-2018","13,599.13","13,529.42","13,707.21","12,999.73","","0.71%"
"01-11-2018","13,503.06","12,999.37","13,503.06","12,999.37","","4.11%"
"01-10-2018","12,969.63","13,569.58","13,569.58","12,470.57","","-3.90%"
"01-09-2018","13,496.26","14,678.85","14,678.85","13,496.26","","-8.70%"
"01-08-2018","14,782.95","14,258.89","14,782.95","14,168.71","","3.69%"
"01-07-2018","14,257.02","13,424.54","14,257.02","13,424.54","","5.58%"
"01-06-2018","13,503.29","13,617.21","13,811.78","13,318.37","","-1.48%"
"01-05-2018","13,705.62","13,874.76","13,874.76","13,325.63","","-1.75%"
"01-04-2018","13,950.42","13,254.74","13,950.42","13,184.34","","6.57%"
"01-03-2018","13,090.98","13,531.83","13,531.83","12,926.25","","-3.64%"
"01-02-2018","13,585.49","14,188.25","14,188.25","13,402.06","","-4.35%"
"01-01-2018","14,203.09","13,813.81","14,464.05","13,789.42","","2.21%"
"01-12-2017","13,896.02","13,265.94","13,896.02","13,160.70","","3.67%"
"01-11-2017","13,403.72","13,515.96","13,569.12","13,138.35","","0.07%"
"01-10-2017","13,394.75","12,669.17","13,405.52","12,669.17","","6.49%"
"01-09-2017","12,577.95","12,795.51","13,091.41","12,462.32","","-1.02%"
"01-08-2017","12,707.41","12,865.27","12,865.27","12,311.40","","-1.01%"
"01-07-2017","12,837.04","12,256.66","12,837.04","12,248.49","","5.81%"
"01-06-2017","12,132.60","12,156.89","12,301.38","12,051.06","","0.05%"
"01-05-2017","12,126.75","11,947.10","12,191.43","11,769.10","","1.71%"
"01-04-2017","11,922.34","11,682.97","11,946.26","11,614.84","","2.79%"
"01-03-2017","11,598.64","11,231.97","11,598.64","11,140.71","","3.90%"
"01-02-2017","11,163.36","10,868.72","11,189.56","10,868.72","","4.62%"
"01-01-2017","10,670.20","10,123.34","10,779.67","10,123.34","","5.70%"
"01-12-2016","10,094.85","10,177.82","10,265.87","9,721.39","","-1.36%"
"01-11-2016","10,234.35","10,840.63","10,840.63","9,774.59","","-5.57%"
"01-10-2016","10,838.16","10,875.55","10,926.73","10,662.27","","1.51%"
"01-09-2016","10,677.17","10,783.22","11,031.31","10,593.47","","-1.20%"
"01-08-2016","10,806.57","10,568.94","10,806.57","10,422.98","","2.32%"
"01-07-2016","10,561.52","10,106.39","10,573.41","10,106.39","","5.21%"
"01-06-2016","10,038.72","9,773.46","10,038.72","9,738.76","","2.89%"
"01-05-2016","9,757.09","9,423.72","9,780.39","9,286.59","","3.41%"
"01-04-2016","9,435.76","9,230.33","9,572.88","9,064.78","","2.12%"
"01-03-2016","9,239.91","8,604.49","9,239.91","8,604.49","","10.89%"
"01-02-2016","8,332.74","9,058.07","9,058.07","8,313.56","","-7.97%"
"01-01-2016","9,054.56","9,643.99","9,643.99","8,700.16","","-5.71%"
"01-12-2015","9,602.77","9,584.54","10,466.19","9,174.59","","0.59%"
"01-11-2015","9,546.85","9,622.86","9,643.16","9,291.76","","-0.93%"
"01-10-2015","9,636.66","9,492.51","9,867.08","9,492.51","","1.65%"
"01-09-2015","9,480.55","9,297.72","10,396.83","9,017.50","","-0.26%"
"01-08-2015","9,505.16","10,154.00","10,258.90","9,252.89","","-6.08%"
"01-07-2015","10,120.91","9,909.28","10,177.79","9,835.66","","3.25%"
"01-06-2015","9,802.54","9,641.74","9,831.17","9,326.67","","-0.67%"
"01-05-2015","9,868.59","9,739.69","9,872.96","9,376.90","","3.18%"
"01-04-2015","9,564.36","10,003.75","10,324.17","9,527.82","","-3.27%"
"01-03-2015","9,887.49","10,330.82","10,400.17","9,700.53","","-3.10%"
"01-02-2015","10,203.63","10,147.78","10,249.54","9,794.20","","0.64%"
"01-01-2015","10,138.98","9,598.91","10,267.05","9,399.28","","5.82%"
